Description,UnitsSold,Revenue,Orders,Customers,UnitsPerOrder
3 WHITE CHOC MORRIS BOXED CANDLES,950,1642.07,121,80,7.851239669421488
3 WICK CHRISTMAS BRIAR CANDLE ,3,15.97,2,1,1.5
36 DOILIES DOLLY GIRL,923,1365.29,90,71,10.255555555555556
36 DOILIES VINTAGE CHRISTMAS,5172,7061.73,177,151,29.220338983050848
36 FOIL HEART CAKE CASES,2055,3992.5800000000004,198,144,10.378787878787879
36 FOIL STAR CAKE CASES ,1048,2070.15,134,91,7.82089552238806
36 PENCILS TUBE POSY,79,76.91,20,10,3.95
36 PENCILS TUBE RED RETROSPOT,3739,4729.9800000000005,325,164,11.504615384615384
36 PENCILS TUBE SKULLS,1799,2400.05,263,133,6.840304182509506
36 PENCILS TUBE WOODLAND,1741,2331.14,185,111,9.41081081081081
3D CHRISTMAS STAMPS STICKERS ,1172,1536.24,143,85,8.195804195804195
3D DOG PICTURE PLAYING CARDS,341,1025.5700000000002,86,49,3.9651162790697674
3D HEARTS  HONEYCOMB PAPER GARLAND,326,1021.9000000000001,50,27,6.52
3D SHEET OF CAT STICKERS,260,255.61999999999998,75,36,3.466666666666667
3D SHEET OF DOG STICKERS,426,423.99,116,34,3.6724137931034484
3D TRADITIONAL CHRISTMAS STICKERS,1583,2095.08,197,119,8.035532994923859
3D VINTAGE CHRISTMAS STICKERS ,1645,2162.75,188,102,8.75
4 BLUE DINNER CANDLES SILVER FLOCK,88,229.22,31,20,2.838709677419355
4 BURGUNDY WINE DINNER CANDLES,57,72.46,13,9,4.384615384615385
4 GOLD FLOCK CHRISTMAS BALLS,2,6.72,1,0,2.0
4 IVORY DINNER CANDLES SILVER FLOCK,541,1213.29,136,62,3.9779411764705883
4 LAVENDER BOTANICAL DINNER CANDLES,892,1349.17,135,86,6.607407407407408
4 LILY  BOTANICAL DINNER CANDLES,528,1013.01,102,62,5.176470588235294
4 PEAR BOTANICAL DINNER CANDLES,822,1288.34,138,84,5.956521739130435
4 PINK DINNER CANDLE SILVER FLOCK,132,264.82,35,26,3.7714285714285714
4 PINK FLOCK CHRISTMAS BALLS,50,89.72,22,8,2.272727272727273
4 ROSE PINK DINNER CANDLES,184,276.59,44,13,4.181818181818182
4 SKY BLUE DINNER CANDLES,150,297.91,62,10,2.4193548387096775
4 TRADITIONAL SPINNING TOPS,4894,6789.46,483,260,10.132505175983438
4 VANILLA BOTANICAL CANDLES,978,1481.4,164,99,5.963414634146342
4 WILDFLOWER BOTANICAL CANDLES,406,770.87,91,48,4.461538461538462
5 HOOK HANGER MAGIC TOADSTOOL,640,994.3799999999999,34,23,18.823529411764707
5 HOOK HANGER RED MAGIC TOADSTOOL,3099,4753.29,131,71,23.65648854961832
5 STRAND GLASS NECKLACE AMBER,6,37.620000000000005,6,2,1.0
5 STRAND GLASS NECKLACE AMETHYST,9,56.59,8,1,1.125
5 STRAND GLASS NECKLACE BLACK,11,69.63,6,3,1.8333333333333333
5 STRAND GLASS NECKLACE CRYSTAL,20,126.63999999999999,10,7,2.0
50'S CHRISTMAS PAPER GIFT BAG,1352,1108.8899999999999,103,85,13.12621359223301
50CM METAL STRING WITH  7 CLIPS,226,172.64,23,15,9.826086956521738
6 CHOCOLATE LOVE HEART T-LIGHTS,1065,2179.6600000000003,142,70,7.5
6 EGG HOUSE PAINTED WOOD,301,2742.33,155,82,1.9419354838709677
6 GIFT TAGS 50'S CHRISTMAS ,3743,3431.89,322,235,11.624223602484472
6 GIFT TAGS VINTAGE CHRISTMAS ,4016,3517.5199999999995,327,227,12.281345565749236
6 RIBBONS ELEGANT CHRISTMAS ,1800,2503.3399999999997,200,96,9.0
6 RIBBONS EMPIRE  ,1260,1669.5299999999997,225,96,5.6
6 RIBBONS RUSTIC CHARM,9183,17205.37,955,413,9.615706806282722
6 RIBBONS SHIMMERING PINKS ,1403,1241.32,199,61,7.050251256281407
6 ROCKET BALLOONS ,1904,1297.1200000000001,197,116,9.66497461928934
60 CAKE CASES DOLLY GIRL DESIGN,7518,4010.55,437,237,17.20366132723112
60 CAKE CASES VINTAGE CHRISTMAS,16055,9511.52,618,342,25.978964401294498
60 GOLD AND SILVER FAIRY CAKE CASES,2,1.1,2,2,1.0
60 TEATIME FAIRY CAKE CASES,18214,9183.720000000001,828,414,21.997584541062803
6PC WOOD PLATE SET DISPOSABLE,459,574.88,38,15,12.078947368421053
70'S ALPHABET WALL ART,150,1043.1,15,14,10.0
72 CAKE CASES VINTAGE CHRISTMAS,24,13.200000000000001,1,1,24.0
72 SWEETHEART FAIRY CAKE CASES,13360,6555.33,615,325,21.723577235772357
75 BLACK PETIT FOUR CASES,58,24.36,18,16,3.2222222222222223
75 GREEN FAIRY CAKE CASES,70,102.91000000000001,42,16,1.6666666666666667
75 GREEN PETIT FOUR CASES,375,186.25,74,30,5.0675675675675675
A PRETTY THANK YOU CARD,456,194.58,35,26,13.028571428571428
A4 WALL TIDY BLUE OFFICE,127,80.96000000000001,12,5,10.583333333333334
A4 WALL TIDY RED FLOWERS,13,7.37,4,4,3.25
ABC TREASURE BOOK BOX ,2167,4697.58,226,159,9.58849557522124
ABSTRACT CIRCLE JOURNAL ,185,449.8,72,24,2.5694444444444446
ABSTRACT CIRCLES POCKET BOOK,162,137.7,42,35,3.857142857142857
ABSTRACT CIRCLES SKETCHBOOK ,144,610.8100000000001,76,45,1.894736842105263
ACRYLIC GEOMETRIC LAMP,35,568.65,20,8,1.75
"ACRYLIC HANGING JEWEL,BLUE",270,106.81,24,19,11.25
"ACRYLIC HANGING JEWEL,PINK",95,66.55,7,7,13.571428571428571
"ACRYLIC JEWEL ANGEL,PINK",78,29.64,2,2,39.0
"ACRYLIC JEWEL ICICLE, BLUE",31,11.780000000000001,3,3,10.333333333333334
"ACRYLIC JEWEL ICICLE, PINK",266,106.97,19,15,14.0
"ACRYLIC JEWEL SNOWFLAKE, PINK",162,63.28000000000001,5,5,32.4
"ACRYLIC JEWEL SNOWFLAKE,PINK",6,15.299999999999999,1,1,6.0
ADULT APRON APPLE DELIGHT,185,950.83,45,32,4.111111111111111
ADVENT CALENDAR GINGHAM SACK,1313,6860.09,246,126,5.337398373983739
AFGHAN SLIPPER SOCK PAIR,519,1690.5500000000002,22,16,23.59090909090909
AGED GLASS SILVER T-LIGHT HOLDER,10583,6890.47,340,168,31.126470588235293
AIRLINE BAG VINTAGE JET SET BROWN,349,1639.29,167,67,2.089820359281437
AIRLINE BAG VINTAGE JET SET RED,549,2440.27,223,108,2.4618834080717487
AIRLINE BAG VINTAGE JET SET WHITE,254,1141.7,122,66,2.081967213114754
AIRLINE BAG VINTAGE TOKYO 78,1091,5093.57,392,144,2.7831632653061225
AIRLINE BAG VINTAGE WORLD CHAMPION ,279,1289.49,147,81,1.8979591836734695
"AIRLINE LOUNGE,METAL SIGN",713,1412.27,291,86,2.450171821305842
ALARM CLOCK BAKELIKE CHOCOLATE,1984,8168.6,428,171,4.635514018691588
ALARM CLOCK BAKELIKE GREEN,6430,27196.53,980,322,6.561224489795919
ALARM CLOCK BAKELIKE IVORY,2892,11479.65,570,241,5.073684210526316
ALARM CLOCK BAKELIKE ORANGE,2326,9080.2,445,179,5.226966292134832
ALARM CLOCK BAKELIKE PINK,5364,20702.15,783,291,6.850574712643678
ALARM CLOCK BAKELIKE RED ,7815,30701.12,1051,388,7.435775451950524
ALPHABET HEARTS STICKER SHEET,401,353.47999999999996,59,29,6.796610169491525
ALPHABET STENCIL CRAFT,2702,3063.52,186,120,14.526881720430108
ALUMINIUM HEART,30,74.7,6,6,5.0
ALUMINIUM STAMPED HEART,783,1902.19,130,100,6.023076923076923
AMBER 3 BEAD DROP EARRINGS,8,23.2,8,0,1.0
AMBER BERTIE GLASS BEAD BAG CHARM,11,21.05,10,1,1.1
AMBER BERTIE MOBILE PHONE CHARM,2,6.58,1,0,2.0
AMBER CHUNKY BEAD BRACELET W STRAP,13,117.73,9,4,1.4444444444444444
AMBER CHUNKY GLASS+BEAD NECKLACE,8,95.25,8,6,1.0
AMBER CRYSTAL DROP EARRINGS,3,8.76,3,0,1.0
AMBER DIAMANTE EXPANDABLE RING,31,131.03,13,5,2.3846153846153846
AMBER DROP EARRINGS W LONG BEADS,40,117.24000000000001,23,5,1.7391304347826086
AMBER FINE BEAD NECKLACE W TASSEL,6,35.31,5,2,1.2
AMBER GLASS TASSLE BAG CHARM,14,33.440000000000005,7,2,2.0
AMBER GLASS/SHELL/PEARL NECKLACE,7,64.04,7,1,1.0
AMBER GLASS/SILVER BRACELET,25,227.89,16,7,1.5625
AMETHYST 3 BEAD DROP EARRINGS,5,14.5,5,0,1.0
AMETHYST CHUNKY BEAD BRACELET W STR,33,297.94,21,11,1.5714285714285714
AMETHYST DIAMANTE EXPANDABLE RING,23,97.02,12,3,1.9166666666666667
AMETHYST DROP EARRINGS W LONG BEADS,21,61.08,17,0,1.2352941176470589
AMETHYST GLASS/SHELL/PEARL NECKLACE,15,137.63,14,0,1.0714285714285714
AMETHYST HOOP EARRING FLORAL LEAF,12,35.11,9,3,1.3333333333333333
ANGEL DECORATION 3 BUTTONS ,3749,1638.35,162,87,23.141975308641975
ANGEL DECORATION PAINTED ZINC ,912,574.5400000000001,77,24,11.844155844155845
ANGEL DECORATION STARS ON DRESS,2653,1134.25,131,61,20.251908396946565
ANGEL DECORATION WITH LACE PADDED,212,180.2,11,11,19.272727272727273
ANIMAL STICKERS,1773,372.33,46,38,38.54347826086956
ANIMALS AND NATURE WALL ART,267,923.97,17,16,15.705882352941176
ANT COPPER LIME BOUDICCA BRACELET,83,412.74,50,13,1.66
ANT COPPER PINK BOUDICCA BRACELET,64,318.89000000000004,34,6,1.8823529411764706
ANT COPPER RED BOUDICCA BRACELET,24,119.91000000000001,21,6,1.1428571428571428
ANT COPPER TURQ BOUDICCA BRACELET,76,377.88,37,10,2.054054054054054
ANT SILVER FUSCHIA BOUDICCA RING,14,41.300000000000004,7,3,2.0
ANT SILVER LIME GREEN BOUDICCA RING,27,79.65,10,7,2.7
ANT SILVER PURPLE BOUDICCA RING,10,29.500000000000004,5,3,2.0
ANT SILVER TURQUOISE BOUDICCA RING,6,17.700000000000003,1,1,6.0
ANT WHITE WIRE HEART SPIRAL,339,1519.63,104,52,3.2596153846153846
ANTIQUE ALL GLASS CANDLESTICK,1171,2618.25,199,66,5.884422110552764
ANTIQUE CREAM CUTLERY CUPBOARD,50,530.19,36,12,1.3888888888888888
ANTIQUE CREAM CUTLERY SHELF ,29,254.98000000000002,19,17,1.5263157894736843
ANTIQUE GLASS DRESSING TABLE POT,1799,5564.25,267,126,6.737827715355805
ANTIQUE GLASS HEART DECORATION ,328,709.18,36,26,9.11111111111111
ANTIQUE GLASS PEDESTAL BOWL,1030,4215.14,220,123,4.681818181818182
ANTIQUE GLASS PLACE SETTING,122,152.5,8,8,15.25
ANTIQUE HEART SHELF UNIT,275,4145.47,74,64,3.7162162162162162
ANTIQUE IVORY WIRE BOWL SMALL,99,251.45000000000002,21,17,4.714285714285714
ANTIQUE MID BLUE FLOWER EARRINGS,5,21.15,3,2,1.6666666666666667
ANTIQUE OLIVE GREEN FLOWER EARRINGS,7,29.73,5,3,1.4
ANTIQUE OPAL WHITE FLOWER EARRINGS,5,21.130000000000003,5,2,1.0
ANTIQUE RASPBERRY FLOWER EARRINGS,5,20.950000000000003,4,1,1.25
ANTIQUE SILVER BAUBLE LAMP  ,381,3635.23,78,64,4.884615384615385
ANTIQUE SILVER BOOK MARK WITH BEADS,17,14.11,3,0,5.666666666666667
ANTIQUE SILVER T-LIGHT GLASS,14688,19411.62,689,348,21.317851959361395
ANTIQUE SILVER TEA GLASS ENGRAVED,8706,10297.27,347,177,25.089337175792508
ANTIQUE SILVER TEA GLASS ETCHED,4558,6478.01,216,117,21.10185185185185
ANTIQUE TALL SWIRLGLASS TRINKET POT,871,3564.49,203,109,4.29064039408867
APOTHECARY MEASURING JAR,67,826.28,22,20,3.0454545454545454
APPLE BATH SPONGE,1338,1913.67,229,83,5.842794759825328
APRON APPLE DELIGHT,287,1456.69,80,52,3.5875
APRON MODERN VINTAGE COTTON,494,1143.76,90,52,5.488888888888889
AQUA BERTIE GLASS BEAD BAG CHARM,30,48.06,12,3,2.5
AREA PATROLLED METAL SIGN,4367,8862.990000000002,437,176,9.993135011441648
ARMY CAMO BOOKCOVER TAPE,17,7.14,4,4,4.25
"ART LIGHTS,FUNK MONKEY",370,1037.54,62,26,5.967741935483871
ASS COL CIRCLE MOBILE ,474,173.15999999999997,6,6,79.0
ASS COL LARGE SAND FROG P'WEIGHT,27,28.35,7,6,3.857142857142857
ASS COL SMALL SAND GECKO P'WEIGHT,29,12.18,9,9,3.2222222222222223
ASS COLOUR GLOWING TIARAS,282,216.06,25,24,11.28
ASS DES PHONE SPONGE CRAFT STICKER,511,154.39,14,12,36.5
ASS FLORAL PRINT MULTI SCREWDRIVER,2758,1264.2,163,123,16.920245398773005
ASS FLORAL PRINT SPIRIT LEVEL ,101,112.81,37,30,2.72972972972973
ASSORTED BOTTLE TOP  MAGNETS ,3152,1406.42,184,110,17.130434782608695
ASSORTED CAKES FRIDGE MAGNETS,55,35.75,8,6,6.875
ASSORTED CHEESE FRIDGE MAGNETS,223,180.71,18,8,12.38888888888889
ASSORTED CIRCULAR MOBILE,698,155.82,33,17,21.151515151515152
ASSORTED COLOUR BIRD ORNAMENT,36461,59094.93,1455,678,25.059106529209622
ASSORTED COLOUR LIZARD SUCTION HOOK,999,395.09999999999997,55,16,18.163636363636364
ASSORTED COLOUR METAL CAT ,115,143.75,25,19,4.6
ASSORTED COLOUR MINI CASES,1770,12614.17,383,239,4.6214099216710185
ASSORTED COLOUR SILK GLASSES CASE,3,6.300000000000001,1,1,3.0
ASSORTED COLOUR SUCTION CUP HOOK,202,38.38,13,11,15.538461538461538
ASSORTED COLOUR T-LIGHT HOLDER,3631,2304.8300000000004,120,66,30.258333333333333
ASSORTED COLOURED CIRCLE MOBILE ,65,27.3,7,6,9.285714285714286
ASSORTED COLOURS SILK FAN,23826,18569.84,518,194,45.996138996138995
ASSORTED CREEPY CRAWLIES,2669,1127.23,99,63,26.95959595959596
ASSORTED EASTER DECORATIONS  BELLS,569,729.57,27,21,21.074074074074073
ASSORTED EASTER GIFT TAGS,1159,977.7599999999999,61,56,19.0
ASSORTED FARMYARD ANIMALS IN BUCKET,90,74.58,9,6,10.0
"ASSORTED FLOWER COLOUR ""LEIS""",10315,4934.87,111,72,92.92792792792793
ASSORTED INCENSE PACK,4032,760.3199999999999,27,16,149.33333333333334
ASSORTED LAQUERED INCENSE HOLDERS,2545,455.9800000000001,24,12,106.04166666666667
ASSORTED MINI MADRAS NOTEBOOK,976,481.95,28,22,34.857142857142854
ASSORTED MONKEY SUCTION CUP HOOK,653,261.3,45,16,14.511111111111111
ASSORTED SANSKRIT MINI NOTEBOOK,109,136.25,6,6,18.166666666666668
ASSORTED SHAPES PHOTO CLIP SILVER ,473,241.20999999999998,12,10,39.416666666666664
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,662,644.03,78,38,8.487179487179487
ASSORTED TUTTI FRUTTI BRACELET,2550,692.85,132,48,19.318181818181817
ASSORTED TUTTI FRUTTI HEART BOX,215,268.75,32,29,6.71875
ASSORTED TUTTI FRUTTI KEYRING BALL,1153,451.59,49,19,23.53061224489796
ASSORTED TUTTI FRUTTI LARGE PURSE,118,247.8,25,21,4.72
ASSORTED TUTTI FRUTTI MIRROR,550,743.31,60,27,9.166666666666666
ASSORTED TUTTI FRUTTI NOTEBOOK,249,551.96,40,25,6.225
ASSORTED TUTTI FRUTTI PEN,2472,831.0199999999999,101,79,24.475247524752476
ASSORTED TUTTI FRUTTI SMALL PURSE,737,992.79,66,26,11.166666666666666
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,459,218.87,13,6,35.30769230769231
ASSTD DESIGN 3D PAPER STICKERS,1165,391.93,31,28,37.58064516129032
ASSTD DESIGN BUBBLE GUM RING,17,3.5700000000000003,4,0,4.25
ASSTD DESIGN RACING CAR PEN,1615,2389.44,113,44,14.29203539823009
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,2412,637.5600000000001,65,57,37.10769230769231
ASSTD MULTICOLOUR CIRCLES MUG,1579,840.47,81,36,19.493827160493826
ASSTD RASTA KEY-CHAINS,9,3.7800000000000002,3,3,3.0
Adjust bad debt,1,11062.06,1,0,1.0
BABUSHKA LIGHTS STRING OF 10,517,3633.17,153,82,3.3790849673202614
BABY BOOM RIBBONS ,378,477.34,88,70,4.295454545454546
BABY MOUSE RED GINGHAM DRESS,74,314.5,21,19,3.5238095238095237
BAG 125g SWIRLY MARBLES,9390,3528.89,294,175,31.93877551020408
BAG 250g SWIRLY MARBLES,5144,4039.2799999999997,248,137,20.741935483870968
BAG 500g SWIRLY MARBLES,1459,1462.1699999999998,141,89,10.347517730496454
BAG OF SILVER STONES,131,89.94999999999999,13,5,10.076923076923077
BAKING MOULD CHOCOLATE CUP CAKES,12,30.599999999999998,2,2,6.0
BAKING MOULD CHOCOLATE CUPCAKES,950,2507.14,157,119,6.050955414012739
BAKING MOULD CUPCAKE CHOCOLATE,12,30.599999999999998,1,1,12.0
BAKING MOULD EASTER EGG MILK CHOC,940,2585.92,122,82,7.704918032786885
BAKING MOULD EASTER EGG WHITE CHOC,589,1707.47,78,65,7.551282051282051
BAKING MOULD HEART MILK CHOCOLATE,1109,2849.35,189,120,5.867724867724868
BAKING MOULD HEART WHITE CHOCOLATE,815,1968.4,129,95,6.317829457364341
BAKING MOULD ROSE MILK CHOCOLATE,690,2066.82,65,46,10.615384615384615
BAKING MOULD ROSE WHITE CHOCOLATE,279,895.97,50,30,5.58
BAKING SET 9 PIECE RETROSPOT ,4948,24239.72,934,581,5.297644539614561
BAKING SET SPACEBOY DESIGN,2209,10745.050000000001,464,296,4.760775862068965
BALLOON ART MAKE YOUR OWN FLOWERS,1022,1058.69,98,66,10.428571428571429
BALLOON PUMP WITH 10 BALLOONS,798,1580.16,124,94,6.435483870967742
BALLOON WATER BOMB PACK OF 35,6034,2385.12,154,100,39.18181818181818
BALLOONS  WRITING SET ,1342,2418.68,346,135,3.878612716763006
BANK ACCOUNT  GREETING  CARD ,318,132.44,38,16,8.368421052631579
BANQUET BIRTHDAY  CARD  ,1656,717.12,160,71,10.35
BAROQUE BUTTERFLY EARRINGS BLACK,2,7.5,2,2,1.0
BAROQUE BUTTERFLY EARRINGS CRYSTAL,4,14.96,4,1,1.0
BAROQUE BUTTERFLY EARRINGS MONTANA,1,3.73,1,0,1.0
BAROQUE BUTTERFLY EARRINGS PINK,3,11.19,3,0,1.0
BAROQUE BUTTERFLY EARRINGS RED,1,3.73,1,0,1.0
BASKET OF FLOWERS SEWING KIT,813,645.06,63,40,12.904761904761905
BASKET OF TOADSTOOLS,1430,1767.15,130,51,11.0
BATH BUILDING BLOCK WORD,823,5089.56,270,168,3.0481481481481483
BATHROOM HOOK,146,157.5,27,21,5.407407407407407
BATHROOM METAL SIGN,5883,3474.31,631,210,9.323296354992076
BATHROOM METAL SIGN ,438,613.14,73,43,6.0
BATHROOM SCALES FOOTPRINTS IN SAND,51,172.05,20,17,2.55
BATHROOM SCALES RUBBER DUCKS,43,146.85,21,11,2.0476190476190474
"BATHROOM SCALES, TROPICAL BEACH",18,67.5,12,8,1.5
BATHROOM SET LOVE HEART DESIGN,82,237.98000000000002,14,9,5.857142857142857
BEACH HUT DESIGN BLACKBOARD,41,203.07,15,7,2.7333333333333334
BEACH HUT KEY CABINET,34,177.33,21,6,1.619047619047619
BEACH HUT MIRROR,49,66.39,8,7,6.125
BEACH HUT SHELF W 3 DRAWERS,81,504.43,31,16,2.6129032258064515
BEADED CHANDELIER T-LIGHT HOLDER,698,1435.8200000000002,38,31,18.36842105263158
BEADED CRYSTAL HEART BLUE  LARGE,483,438.87,46,37,10.5
BEADED CRYSTAL HEART BLUE ON STICK,193,178.85,50,5,3.86
BEADED CRYSTAL HEART BLUE SMALL,80,107.31,15,8,5.333333333333333
BEADED CRYSTAL HEART GREEN LARGE,834,760.4300000000001,62,44,13.451612903225806
BEADED CRYSTAL HEART GREEN ON STICK,623,521.11,172,2,3.622093023255814
BEADED CRYSTAL HEART GREEN SMALL,119,168.59,31,10,3.838709677419355
BEADED CRYSTAL HEART PINK LARGE,565,569.29,62,41,9.112903225806452
BEADED CRYSTAL HEART PINK ON STICK,850,725.26,206,5,4.12621359223301
BEADED CRYSTAL HEART PINK SMALL,208,343.99,65,16,3.2
BEADED LOVE HEART JEWELLERY SET,10,8.5,1,1,10.0
BEADED PEARL HEART WHITE LARGE,77,127.04999999999998,10,10,7.7
BEADED PEARL HEART WHITE ON STICK,996,901.48,119,19,8.369747899159664
BELL HEART ANTIQUE GOLD,12,24.96,1,1,12.0
BELL HEART DECORATION,252,387.0,9,9,28.0
BELLE JARDINIERE CUSHION COVER,761,3305.83,210,141,3.623809523809524
BEST DAD CANDLE LETTERS,31,26.349999999999998,8,8,3.875
BEWARE OF THE CAT METAL SIGN ,4156,6939.08,449,178,9.256124721603564
BICYCLE PUNCTURE REPAIR KIT ,1864,3883.99,116,93,16.06896551724138
BICYCLE SAFTEY WALL ART,458,2371.94,39,38,11.743589743589743
BIG DOUGHNUT FRIDGE MAGNETS,1726,2334.94,198,58,8.717171717171718
BIG POLKADOT MUG,6,2.34,1,1,6.0
BILI NUT AND WOOD NECKLACE,50,59.89,7,5,7.142857142857143
BINGO SET,1690,6667.04,378,210,4.470899470899471
BIRD BOX CHRISTMAS TREE DECORATION,24,22.06,6,4,4.0
BIRD DECORATION GREEN POLKADOT,820,747.81,139,30,5.899280575539568
BIRD DECORATION RED RETROSPOT,917,881.3299999999999,132,45,6.946969696969697
BIRD HOUSE HOT WATER BOTTLE,1173,4914.69,279,116,4.204301075268817
BIRD ON BRANCH CANVAS SCREEN,11,21.45,1,1,11.0
BIRDCAGE DECORATION TEALIGHT HOLDER,650,770.32,67,48,9.701492537313433
BIRDHOUSE DECORATION MAGIC GARDEN,714,891.99,137,66,5.211678832116788
BIRDHOUSE GARDEN MARKER ,1543,2218.12,140,59,11.021428571428572
BIRDS MOBILE VINTAGE DESIGN,189,1147.27,73,56,2.589041095890411
BIRTHDAY BANNER TAPE,24,30.0,1,1,24.0
BIRTHDAY BANQUET GIFT WRAP,975,393.5,32,32,30.46875
"BIRTHDAY CARD, RETRO SPOT",2608,1104.81,270,94,9.65925925925926
BIRTHDAY PARTY CORDON BARRIER TAPE,478,617.11,97,60,4.927835051546392
BISCUIT TIN 50'S CHRISTMAS,2206,6715.93,309,231,7.13915857605178
BISCUIT TIN VINTAGE CHRISTMAS,1725,5088.45,277,201,6.227436823104693
